chapter_id,chapter
1,Animaux vivants
2,Viandes et abats comestibles
3,"Poissons et crustacés, mollusques et autres invertébrés aquatiques"
4,"Laits et produits de la laiterie, oeufs d'oiseaux; miel naturel; produits comestibles d'origine animale, non dénommés ni compris ailleurs"
5,"Autres produits d'origine animale, non dénommés ni compris ailleurs"
6,Plantes vivantes et produits de la floriculture
7,"Légumes, plantes, racines et tubercules alimentaires"
8,Fruits comestibles; écorces d'agrumes ou de melons
9,"Café, thé, maté et épices"
10,Céréales
11,Produits de la minoterie; malt; amidons et fécules; inuline; gluten de froment
12,"Graines et fruits oléagineux; graines, semences et fruits divers; plantes industrielles ou médicinales; pailles et fourrages"
13,"Gommes, résines et autres sucs et extraits végétaux"
14,"Matières à tresser et autres produits d'origine végétale, non dénommés ni compris ailleurs"
15,Graisses et huiles animales ou végétales; produits de leur dissociation; graisses alimentaires élaborées; cires d'origine animale ou végétale
16,"Préparation de viandes,de poissons ou de crustacés, de mollusques ou d'autres invertébrés aquatiques"
17,Sucres et sucreries
18,Cacao et ses préparations
19,"Préparations à base de céréales, de farines, d'amidons, de fécules ou de lait; pâtisseries"
20,"Préparations de légumes, de fruits, ou d'autres parties de plantes"
21,Préparations alimentaires diverses
22,"Boissons, liquides alcooliques et vinaigres"
23,Résidus et déchets des industries alimentaires; aliments préparés pour animaux
24,Tabacs et succédanés de tabac fabriqués
25,"Sel; soufre; terres et pierres; plâtres, chaux et ciments"
26,Minerais; scories et cendres
27,"Combustibles minéraux, huiles minérales et produits de leur distillation; matières bitumineuses; cires minérales"
28,"Produits chimiques inorganiques; composés inorganiques ou organiques de métaux précieux, d'éléments radioactifs, de métaux des terres rares ou d'isotopes"
29,Produits chimiques organiques
30,Produits pharmaceutiques
31,Engrais
32,Extraits tannants ou tinctoriaux; tanins et leurs dérivés; pigments et autres matières colorantes; peintures et vernis; mastics; encres.
33,Huiles essentielles et résinodes; produits de parfumerie ou de toilette préparés et préparations cosmétiques
34,"Savons, agents de surface organiques, préparations pour lessives, préparations lubrifiantes, cires artificielles, cires préparées, produits d'entretien, bougies et articles similaires, pâtes à modeler, "
35,Matières albuminodes; produits à base d'amidons ou de fécules modifiés; colles; enzymes
36,Poudres et explosifs; articles de pyrotechnie; allumettes; alliages pyrophoriques; matières inflammables
37,Produits photographiques ou cinématographiques
38,Produits divers des industries chimiques
39,Matières plastiques et ouvrages en ces matières
40,Caoutchouc et ouvrages en caoutchouc
41,Peaux (autres que les pelleteries) et cuirs
42,Ouvrages en cuir; articles de bourrellerie ou de sellerie; articles de voyage; sacs à main et contenants similaires; ouvrages en botaux
43,Pelleteries et fourrures; pelleteries factices
44,"Bois, charbon de bois et ouvrages en bois"
45,Liège et ouvrages en liège
46,Ouvrages de sparterie ou de vannerie
47,Pâte de bois ou d'autres matières fibreuses cellulosiques; déchets et rebuts de papier ou de carton
48,"Papiers et cartons; ouvrages en pâte de cellulose, en papier ou en carton"
49,"Produits de l'édition, de la presse ou des autres industries graphiques; textes manuscrits ou dactylographiés et plans"
50,Soie
